MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     1.192931E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.652235E+01     0.000000E+00     5.944814E+01     7.880921E+02     1.620025E+04     1.000000E+00 
    2     3     2     4.554606E+01     3.051471E+00     5.931317E+01     4.828852E+02     4.547739E+03     1.000000E+00 
    3     4     3     5.412010E+01     3.412341E+00     3.852611E+01     8.730965E+01     1.772286E+03     1.000000E+00 
    4     5     4     4.714439E+01     3.731907E+00     4.535953E+01     3.014037E+02     5.244849E+02     1.000000E+00 
    5     7     5     4.465288E+01     3.612481E+00     3.866477E+01     1.172138E+02     2.203831E+02     1.000000E+00 
    6     9     6     4.034259E+01     3.474462E+00     3.706102E+01     4.730709E+01     7.364797E+01     1.000000E+00 
    7    10     7     3.678904E+01     3.235057E+00     3.661144E+01     3.331008E+00     3.317107E+01     1.000000E+00 
    8    11     8     3.337176E+01     3.088707E+00     3.662562E+01     1.169728E+01     1.501324E+00     1.000000E+00 
    9    13     9     3.153285E+01     2.999055E+00     3.683728E+01     2.612866E+01     1.040368E+00     1.000000E+00 
   10    15    10     3.068925E+01     2.914375E+00     3.687130E+01     1.116566E+01     9.006895E-01     1.000000E+00 
   11    16    11     2.992154E+01     2.829600E+00     3.693525E+01     1.134174E+00     1.079618E+00     1.000000E+00 
   12    17    12     2.910754E+01     2.794551E+00     3.712968E+01     4.583425E+00     7.377627E-02     1.000000E+00 
   13    18    13     2.859805E+01     2.757955E+00     3.726912E+01     2.417141E+00     2.388576E-01     1.000000E+00 
   14    19    14     2.821446E+01     2.734916E+00     3.743367E+01     3.664572E+00     1.209296E-01     1.000000E+00 
   15    20    15     2.801585E+01     2.718328E+00     3.746433E+01     5.067614E-01     1.844813E-01     1.000000E+00 
   16    21    16     2.770102E+01     2.709851E+00     3.746481E+01     1.912014E+00     3.425399E-02     1.000000E+00 
   17    22    17     2.732421E+01     2.696822E+00     3.739686E+01     1.457735E+00     1.313754E-01     1.000000E+00 
   18    23    18     2.711652E+01     2.680031E+00     3.730679E+01     3.168894E+00     8.262243E-02     1.000000E+00 
   19    24    19     2.695594E+01     2.671805E+00     3.727997E+01     3.737058E-01     1.694471E-01     1.000000E+00 
   20    25    20     2.687885E+01     2.664260E+00     3.726370E+01     4.919766E-01     2.231491E-02     1.000000E+00 
   21    26    21     2.680152E+01     2.660658E+00     3.726337E+01     4.249441E-01     3.193239E-02     1.000000E+00 
   22    27    22     2.675109E+01     2.656549E+00     3.728094E+01     2.370203E-01     2.593828E-02     1.000000E+00 
   23    28    23     2.672947E+01     2.653565E+00     3.730130E+01     1.169552E-01     1.265172E-02     1.000000E+00 
   24    29    24     2.671545E+01     2.652072E+00     3.731547E+01     4.842392E-02     5.649807E-03     1.000000E+00 
   25    30    25     2.669937E+01     2.651123E+00     3.732375E+01     4.880510E-02     2.279278E-03     1.000000E+00 
   26    31    26     2.668451E+01     2.650200E+00     3.732141E+01     1.200651E-01     2.380047E-03     1.000000E+00 
   27    32    27     2.667274E+01     2.649567E+00     3.731021E+01     1.845600E-01     5.984614E-03     1.000000E+00 
   28    33    28     2.666228E+01     2.649288E+00     3.729726E+01     1.151573E-01     9.451248E-03     1.000000E+00 
   29    34    29     2.665378E+01     2.649117E+00     3.728975E+01     2.616880E-02     5.899190E-03     1.000000E+00 
   30    35    30     2.664579E+01     2.648960E+00     3.728553E+01     2.176072E-02     1.297469E-03     1.000000E+00 
   31    36    31     2.663924E+01     2.648903E+00     3.728967E+01     5.115052E-02     1.068092E-03     1.000000E+00 
   32    37    32     2.663639E+01     2.648902E+00     3.729762E+01     3.916042E-02     2.879073E-03     1.000000E+00 
   33    38    33     2.663503E+01     2.648972E+00     3.730185E+01     5.031647E-03     2.296294E-03     1.000000E+00 
   34    39    34     2.663393E+01     2.648985E+00     3.730694E+01     5.027310E-03     2.750648E-04     1.000000E+00 
   35    40    35     2.663324E+01     2.649069E+00     3.730926E+01     2.132734E-03     2.594578E-04     1.000000E+00 
   36    41    36     2.663271E+01     2.649187E+00     3.730998E+01     4.763011E-03     1.145216E-04     1.000000E+00 
   37    42    37     2.663239E+01     2.649366E+00     3.730937E+01     3.319295E-03     2.549658E-04     1.000000E+00 
   38    43    38     2.663215E+01     2.649467E+00     3.730907E+01     7.797301E-04     1.757855E-04     1.000000E+00 
   39    44    39     2.663197E+01     2.649486E+00     3.730961E+01     8.541303E-04     3.992194E-05     1.000000E+00 
   40    45    40     2.663178E+01     2.649482E+00     3.731168E+01     9.514577E-04     4.584325E-05     1.000000E+00 
   41    46    41     2.663164E+01     2.649460E+00     3.731447E+01     1.268871E-03     5.884568E-05     1.000000E+00 
   42    47    42     2.663154E+01     2.649429E+00     3.731684E+01     9.081590E-04     7.232760E-05     1.000000E+00 
   43    48    43     2.663146E+01     2.649399E+00     3.731875E+01     5.229535E-04     4.858903E-05     1.000000E+00 
   44    49    44     2.663141E+01     2.649378E+00     3.732010E+01     2.908123E-04     2.561718E-05     1.000000E+00 
   45    50    45     2.663137E+01     2.649363E+00     3.732100E+01     3.279327E-04     1.431406E-05     1.000000E+00 
   46    51    46     2.663134E+01     2.649351E+00     3.732128E+01     2.641950E-04     2.001683E-05     1.000000E+00 
   47    52    47     2.663131E+01     2.649344E+00     3.732139E+01     1.543458E-04     1.472738E-05     1.000000E+00 
   48    53    48     2.663129E+01     2.649340E+00     3.732158E+01     1.056547E-04     7.401456E-06     1.000000E+00 
   49    54    49     2.663127E+01     2.649338E+00     3.732182E+01     9.535857E-05     4.932579E-06     1.000000E+00 
   50    55    50     2.663126E+01     2.649334E+00     3.732211E+01     3.330193E-04     5.593859E-06     1.000000E+00 
   51    57    51     2.663126E+01     2.649334E+00     3.732209E+01     4.803271E-04     7.150395E-06     1.000000E+00 
   52    59    52     2.663125E+01     2.649335E+00     3.732190E+01     5.194582E-04     8.495198E-06     1.000000E+00 
   53    61    53     2.663124E+01     2.649337E+00     3.732162E+01     6.095970E-04     9.520456E-06     1.000000E+00 
   54    63    54     2.663124E+01     2.649339E+00     3.732122E+01     8.277986E-04     1.052909E-05     1.000000E+00 
   55    65    55     2.663124E+01     2.649341E+00     3.732068E+01     1.250731E-03     1.172743E-05     1.000000E+00 
