MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     1.438476E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.669628E+01     0.000000E+00     8.138990E+01     1.313564E+03     1.838412E+04     1.000000E+00 
    2     3     2     5.326755E+01     3.065783E+00     9.234224E+01     8.019022E+02     6.666744E+03     1.000000E+00 
    3     4     3     6.819214E+01     3.691352E+00     5.333361E+01     1.738623E+02     3.100312E+03     1.000000E+00 
    4     5     4     7.166454E+01     4.194845E+00     6.524304E+01     6.015301E+02     1.333137E+03     1.000000E+00 
    5     7     5     6.458323E+01     4.084252E+00     5.136524E+01     2.449459E+02     5.466270E+02     1.000000E+00 
    6     9     6     5.810206E+01     3.995178E+00     4.754262E+01     6.619214E+01     1.850240E+02     1.000000E+00 
    7    10     7     5.371935E+01     3.883631E+00     4.702258E+01     1.396192E+00     5.633627E+01     1.000000E+00 
    8    11     8     4.814233E+01     3.731685E+00     4.682540E+01     1.776248E+01     7.711666E-01     1.000000E+00 
    9    13     9     4.628426E+01     3.628153E+00     4.681103E+01     2.788347E+01     9.798112E-01     1.000000E+00 
   10    15    10     4.543508E+01     3.527329E+00     4.682805E+01     1.334168E+01     1.085031E+00     1.000000E+00 
   11    16    11     4.436345E+01     3.432991E+00     4.686950E+01     1.055688E+00     1.495536E+00     1.000000E+00 
   12    17    12     4.277698E+01     3.391813E+00     4.712005E+01     1.134317E+01     1.044620E-01     1.000000E+00 
   13    18    13     4.173548E+01     3.330329E+00     4.729922E+01     5.820158E+00     8.587186E-01     1.000000E+00 
   14    19    14     4.109891E+01     3.290098E+00     4.739401E+01     1.974019E+00     4.110031E-01     1.000000E+00 
   15    20    15     4.040215E+01     3.265744E+00     4.751498E+01     4.588574E+00     1.406163E-01     1.000000E+00 
   16    21    16     3.991669E+01     3.239659E+00     4.752668E+01     1.055594E+00     3.106156E-01     1.000000E+00 
   17    22    17     3.943735E+01     3.221215E+00     4.750412E+01     2.546433E+00     7.621158E-02     1.000000E+00 
   18    23    18     3.904281E+01     3.203579E+00     4.744381E+01     1.281363E+00     1.752600E-01     1.000000E+00 
   19    24    19     3.883566E+01     3.188441E+00     4.738366E+01     9.782903E-01     7.862843E-02     1.000000E+00 
   20    25    20     3.872773E+01     3.180589E+00     4.734636E+01     5.722277E-01     5.601193E-02     1.000000E+00 
   21    26    21     3.864324E+01     3.176652E+00     4.732750E+01     4.106030E-01     3.191668E-02     1.000000E+00 
   22    27    22     3.856252E+01     3.173631E+00     4.732705E+01     4.573092E-01     2.329001E-02     1.000000E+00 
   23    28    23     3.849530E+01     3.170786E+00     4.734140E+01     3.637458E-01     2.786016E-02     1.000000E+00 
   24    29    24     3.844990E+01     3.168408E+00     4.735819E+01     2.385040E-01     2.230276E-02     1.000000E+00 
   25    30    25     3.841236E+01     3.166851E+00     4.737151E+01     1.873062E-01     1.381557E-02     1.000000E+00 
   26    31    26     3.837644E+01     3.165632E+00     4.737846E+01     1.638461E-01     1.053902E-02     1.000000E+00 
   27    32    27     3.834136E+01     3.164553E+00     4.737897E+01     2.008895E-01     9.733741E-03     1.000000E+00 
   28    33    28     3.830977E+01     3.163631E+00     4.737728E+01     1.792505E-01     1.244409E-02     1.000000E+00 
   29    34    29     3.828301E+01     3.162856E+00     4.738011E+01     2.158558E-01     1.109007E-02     1.000000E+00 
   30    35    30     3.826017E+01     3.162380E+00     4.739049E+01     2.077384E-01     1.321771E-02     1.000000E+00 
   31    36    31     3.824082E+01     3.162056E+00     4.740723E+01     2.172472E-01     1.242292E-02     1.000000E+00 
   32    37    32     3.822838E+01     3.161866E+00     4.741582E+01     2.830679E-02     1.283648E-02     1.000000E+00 
   33    38    33     3.821707E+01     3.161621E+00     4.743071E+01     9.254189E-02     1.734294E-03     1.000000E+00 
   34    39    34     3.821218E+01     3.161663E+00     4.743497E+01     1.876155E-02     5.703207E-03     1.000000E+00 
   35    40    35     3.820527E+01     3.161686E+00     4.743997E+01     6.493513E-02     1.175548E-03     1.000000E+00 
   36    41    36     3.819987E+01     3.161753E+00     4.744146E+01     1.249793E-02     4.222429E-03     1.000000E+00 
   37    42    37     3.819602E+01     3.161617E+00     4.744361E+01     9.406087E-03     8.266703E-04     1.000000E+00 
   38    43    38     3.819125E+01     3.161452E+00     4.745063E+01     1.413989E-02     6.209413E-04     1.000000E+00 
   39    44    39     3.818474E+01     3.161259E+00     4.746623E+01     3.444563E-02     9.098344E-04     1.000000E+00 
   40    45    40     3.817813E+01     3.161039E+00     4.748639E+01     5.998223E-02     2.105426E-03     1.000000E+00 
   41    46    41     3.817302E+01     3.160866E+00     4.750091E+01     4.723799E-02     3.537852E-03     1.000000E+00 
   42    47    42     3.816902E+01     3.160754E+00     4.750858E+01     2.866580E-02     2.831622E-03     1.000000E+00 
   43    48    43     3.816436E+01     3.160664E+00     4.751358E+01     2.859581E-02     1.720170E-03     1.000000E+00 
   44    49    44     3.815802E+01     3.160532E+00     4.751651E+01     2.998894E-02     1.655811E-03     1.000000E+00 
   45    50    45     3.815175E+01     3.160299E+00     4.751665E+01     2.564547E-02     1.678836E-03     1.000000E+00 
   46    51    46     3.814795E+01     3.160024E+00     4.751482E+01     2.053617E-02     1.411019E-03     1.000000E+00 
   47    52    47     3.814512E+01     3.159857E+00     4.751271E+01     1.520465E-02     1.259667E-03     1.000000E+00 
   48    53    48     3.814208E+01     3.159780E+00     4.751025E+01     1.194143E-02     9.479666E-04     1.000000E+00 
   49    54    49     3.813895E+01     3.159757E+00     4.750703E+01     1.311770E-02     6.966060E-04     1.000000E+00 
   50    55    50     3.813706E+01     3.159812E+00     4.750406E+01     1.616799E-02     6.764216E-04     1.000000E+00 
   51    56    51     3.813565E+01     3.159926E+00     4.750185E+01     1.504787E-02     9.837876E-04     1.000000E+00 
   52    57    52     3.813424E+01     3.159978E+00     4.749975E+01     1.049828E-02     1.005685E-03     1.000000E+00 
   53    58    53     3.813292E+01     3.159953E+00     4.749729E+01     6.238603E-03     6.898853E-04     1.000000E+00 
   54    59    54     3.813200E+01     3.159866E+00     4.749523E+01     3.065546E-03     3.787737E-04     1.000000E+00 
   55    60    55     3.813157E+01     3.159742E+00     4.749436E+01     3.757606E-03     1.649359E-04     1.000000E+00 
   56    61    56     3.813119E+01     3.159628E+00     4.749441E+01     3.059216E-03     2.348847E-04     1.000000E+00 
   57    62    57     3.813075E+01     3.159529E+00     4.749488E+01     2.935142E-03     1.963206E-04     1.000000E+00 
   58    63    58     3.813023E+01     3.159414E+00     4.749547E+01     3.441184E-03     1.808611E-04     1.000000E+00 
   59    64    59     3.812983E+01     3.159282E+00     4.749582E+01     6.650767E-03     1.943162E-04     1.000000E+00 
   60    65    60     3.812955E+01     3.159163E+00     4.749568E+01     1.026809E-02     3.890859E-04     1.000000E+00 
   61    67    61     3.812968E+01     3.159119E+00     4.749522E+01     2.348750E-02     3.535547E-04     1.000000E+00 
