MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     6.368366E+01     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     4.027695E+00     0.000000E+00     3.732863E+01     2.539138E+02     1.424600E+03     1.000000E+00 
    2     3     2     1.339726E+01     9.935731E-01     3.250631E+02     2.244000E+03     1.019193E+03     1.000000E+00 
    3     5     3     1.825545E+01     1.054458E+00     2.782048E+02     1.906101E+03     6.711118E+02     1.000000E+00 
    4     7     4     2.124917E+01     1.118487E+00     2.434062E+01     8.620270E+01     4.762994E+02     1.000000E+00 
    5     8     5     2.841431E+01     2.335288E+00     3.072149E+01     1.581273E+02     2.169103E+03     1.000000E+00 
    6    10     6     2.063546E+01     2.267062E+00     2.128449E+01     3.888608E+01     7.502258E+02     1.000000E+00 
    7    11     7     1.498463E+01     2.313339E+00     1.992492E+01     5.347481E+00     2.191233E+02     1.000000E+00 
    8    12     8     1.015076E+01     1.966497E+00     1.969668E+01     1.323348E+01     1.002417E+01     1.000000E+00 
    9    14     9     9.066287E+00     1.861851E+00     1.978005E+01     2.174712E+01     4.594380E+00     1.000000E+00 
   10    16    10     8.847813E+00     1.780612E+00     1.988006E+01     2.639738E+01     2.392645E+00     1.000000E+00 
   11    18    11     9.032797E+00     1.700142E+00     1.964391E+01     1.557014E+01     1.336324E+00     1.000000E+00 
   12    20    12     9.099972E+00     1.623583E+00     1.955188E+01     9.746459E+00     8.192704E-01     1.000000E+00 
   13    22    13     9.109598E+00     1.572238E+00     1.950567E+01     4.383961E+00     5.250457E-01     1.000000E+00 
   14    23    14     9.014016E+00     1.541446E+00     1.949281E+01     3.414551E-01     4.457036E-01     1.000000E+00 
   15    24    15     8.678525E+00     1.534875E+00     1.951465E+01     1.245018E+00     2.538158E-02     1.000000E+00 
   16    25    16     8.494026E+00     1.509448E+00     1.955271E+01     1.011264E+00     6.901297E-02     1.000000E+00 
