MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     7.798381E+01     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.179098E+00     0.000000E+00     4.545444E+01     3.780077E+02     1.986468E+03     1.000000E+00 
    2     3     2     1.986039E+01     1.131227E+00     3.935824E+02     3.340945E+03     1.760165E+03     1.000000E+00 
    3     5     3     2.727737E+01     1.208396E+00     3.398580E+02     2.855391E+03     1.155621E+03     1.000000E+00 
    4     7     4     3.107394E+01     1.294610E+00     2.970522E+01     1.299111E+02     8.063484E+02     1.000000E+00 
    5     8     5     4.172450E+01     2.829695E+00     3.190127E+01     1.621867E+02     3.150108E+03     1.000000E+00 
    6    10     6     3.130698E+01     2.770691E+00     2.545540E+01     4.411210E+01     9.978649E+02     1.000000E+00 
    7    11     7     2.235385E+01     2.852976E+00     2.430231E+01     1.047642E+01     2.548966E+02     1.000000E+00 
    8    12     8     1.816753E+01     2.406272E+00     2.406779E+01     7.659893E+00     1.163096E+01     1.000000E+00 
    9    14     9     1.518540E+01     2.287310E+00     2.400927E+01     2.156162E+01     4.569929E+00     1.000000E+00 
   10    16    10     1.422251E+01     2.210400E+00     2.417002E+01     3.377950E+01     2.589313E+00     1.000000E+00 
   11    18    11     1.427083E+01     2.133091E+00     2.397094E+01     2.150813E+01     1.508457E+00     1.000000E+00 
   12    20    12     1.402601E+01     2.052823E+00     2.392292E+01     1.904004E+01     1.032670E+00     1.000000E+00 
   13    22    13     1.391991E+01     1.986914E+00     2.383749E+01     1.144886E+01     7.704721E-01     1.000000E+00 
   14    24    14     1.371069E+01     1.936913E+00     2.379824E+01     6.757693E+00     6.026302E-01     1.000000E+00 
   15    25    15     1.348384E+01     1.893552E+00     2.378107E+01     5.377508E-01     7.116230E-01     1.000000E+00 
   16    26    16     1.308158E+01     1.879467E+00     2.379343E+01     1.051231E+00     3.684028E-02     1.000000E+00 
   17    27    17     1.290155E+01     1.854433E+00     2.380575E+01     3.524119E-01     6.103531E-02     1.000000E+00 
   18    28    18     1.275582E+01     1.843959E+00     2.381031E+01     3.260361E-01     2.157911E-02     1.000000E+00 
   19    29    19     1.265892E+01     1.836135E+00     2.379931E+01     2.148034E-01     1.698157E-02     1.000000E+00 
   20    30    20     1.248532E+01     1.831050E+00     2.375139E+01     1.680787E+00     7.544102E-03     1.000000E+00 
   21    31    21     1.237261E+01     1.821733E+00     2.370409E+01     1.134843E+00     5.826143E-02     1.000000E+00 
   22    32    22     1.229652E+01     1.814892E+00     2.366323E+01     1.104486E+00     4.411330E-02     1.000000E+00 
   23    33    23     1.226687E+01     1.810013E+00     2.364597E+01     4.465860E-01     4.686003E-02     1.000000E+00 
   24    34    24     1.224013E+01     1.808087E+00     2.364329E+01     1.987533E-01     1.887719E-02     1.000000E+00 
   25    35    25     1.219656E+01     1.806254E+00     2.365134E+01     2.082702E-01     7.453509E-03     1.000000E+00 
   26    36    26     1.215463E+01     1.803189E+00     2.367007E+01     1.396090E-01     6.487638E-03     1.000000E+00 
   27    37    27     1.212014E+01     1.800160E+00     2.369500E+01     3.478369E-01     5.336169E-03     1.000000E+00 
   28    38    28     1.209972E+01     1.797570E+00     2.371523E+01     3.994841E-01     1.184952E-02     1.000000E+00 
   29    39    29     1.207462E+01     1.795927E+00     2.373771E+01     5.090130E-01     1.453778E-02     1.000000E+00 
   30    40    30     1.203203E+01     1.793808E+00     2.377684E+01     9.963402E-01     1.869345E-02     1.000000E+00 
   31    41    31     1.196182E+01     1.790027E+00     2.384173E+01     1.421585E+00     3.539173E-02     1.000000E+00 
   32    42    32     1.186459E+01     1.783537E+00     2.391911E+01     8.252109E-01     4.772954E-02     1.000000E+00 
   33    43    33     1.179748E+01     1.774809E+00     2.397399E+01     3.072298E-01     2.596588E-02     1.000000E+00 
   34    44    34     1.177365E+01     1.769214E+00     2.399884E+01     9.063656E-02     9.835880E-03     1.000000E+00 
   35    45    35     1.174881E+01     1.767444E+00     2.402199E+01     2.388685E-02     2.428110E-03     1.000000E+00 
   36    46    36     1.172515E+01     1.765662E+00     2.405640E+01     1.074874E-01     7.908239E-04     1.000000E+00 
   37    47    37     1.171042E+01     1.763739E+00     2.409165E+01     2.075922E-01     3.201517E-03     1.000000E+00 
   38    48    38     1.170555E+01     1.762261E+00     2.410747E+01     6.313524E-02     7.975654E-03     1.000000E+00 
   39    49    39     1.170383E+01     1.761660E+00     2.411545E+01     1.270954E-02     2.749488E-03     1.000000E+00 
   40    50    40     1.170228E+01     1.761403E+00     2.412381E+01     5.505769E-03     5.552144E-04     1.000000E+00 
   41    51    41     1.170081E+01     1.761201E+00     2.413253E+01     1.629726E-03     1.926336E-04     1.000000E+00 
   42    52    42     1.170003E+01     1.761060E+00     2.413673E+01     5.321874E-03     4.466331E-05     1.000000E+00 
   43    53    43     1.169981E+01     1.761036E+00     2.413676E+01     3.113116E-03     1.786544E-04     1.000000E+00 
   44    54    44     1.169971E+01     1.761059E+00     2.413617E+01     7.015444E-04     1.211922E-04     1.000000E+00 
   45    55    45     1.169957E+01     1.761070E+00     2.413599E+01     5.302105E-04     2.949343E-05     1.000000E+00 
   46    56    46     1.169941E+01     1.761068E+00     2.413704E+01     2.676862E-04     2.081975E-05     1.000000E+00 
   47    57    47     1.169928E+01     1.761046E+00     2.413931E+01     9.714220E-04     6.511181E-06     1.000000E+00 
   48    58    48     1.169918E+01     1.761011E+00     2.414146E+01     7.716687E-04     3.135328E-05     1.000000E+00 
   49    59    49     1.169909E+01     1.760982E+00     2.414311E+01     4.990784E-04     2.843993E-05     1.000000E+00 
   50    60    50     1.169895E+01     1.760964E+00     2.414453E+01     8.408583E-04     2.041975E-05     1.000000E+00 
   51    61    51     1.169876E+01     1.760953E+00     2.414509E+01     1.508088E-03     3.556682E-05     1.000000E+00 
   52    62    52     1.169854E+01     1.760959E+00     2.414384E+01     1.599089E-03     6.749722E-05     1.000000E+00 
   53    63    53     1.169839E+01     1.760983E+00     2.414165E+01     1.015523E-03     6.857245E-05     1.000000E+00 
   54    64    54     1.169835E+01     1.761006E+00     2.414024E+01     3.109987E-04     3.824265E-05     1.000000E+00 
   55    65    55     1.169832E+01     1.761015E+00     2.413948E+01     1.104751E-04     1.267762E-05     1.000000E+00 
   56    66    56     1.169829E+01     1.761013E+00     2.413920E+01     5.859225E-05     4.198570E-06     1.000000E+00 
   57    67    57     1.169826E+01     1.761001E+00     2.413963E+01     1.425427E-04     2.119327E-06     1.000000E+00 
   58    68    58     1.169825E+01     1.760986E+00     2.414021E+01     8.604883E-05     5.901749E-06     1.000000E+00 
   59    69    59     1.169825E+01     1.760978E+00     2.414052E+01     1.575426E-05     3.595628E-06     1.000000E+00 
   60    70    60     1.169824E+01     1.760974E+00     2.414084E+01     1.890841E-05     6.283195E-07     1.000000E+00 
   61    71    61     1.169824E+01     1.760969E+00     2.414121E+01     4.606999E-05     8.334750E-07     1.000000E+00 
   62    72    62     1.169823E+01     1.760960E+00     2.414149E+01     7.186863E-05     2.368067E-06     1.000000E+00 
   63    73    63     1.169823E+01     1.760950E+00     2.414159E+01     6.394396E-05     3.963845E-06     1.000000E+00 
   64    74    64     1.169822E+01     1.760943E+00     2.414167E+01     4.069792E-05     3.490652E-06     1.000000E+00 
   65    75    65     1.169822E+01     1.760942E+00     2.414195E+01     8.125534E-05     2.280446E-06     1.000000E+00 
   66    76    66     1.169822E+01     1.760945E+00     2.414293E+01     3.653367E-04     4.774638E-06     1.000000E+00 
   67    78    67     1.169828E+01     1.760948E+00     2.414531E+01     2.623655E-03     5.223279E-06     1.000000E+00 
   68    80    68     1.169842E+01     1.760951E+00     2.414800E+01     7.138135E-03     6.223552E-06     1.000000E+00 
   69    82    69     1.169852E+01     1.760956E+00     2.415020E+01     1.113151E-02     9.700899E-06     1.000000E+00 
   70    85    70     1.169861E+01     1.760959E+00     2.415182E+01     1.458298E-02     1.084473E-05     1.000000E+00 
   71    88    71     1.169866E+01     1.760962E+00     2.415298E+01     1.681491E-02     1.203620E-05     1.000000E+00 
   72    91    72     1.169868E+01     1.760966E+00     2.415384E+01     1.809542E-02     1.324305E-05     1.000000E+00 
   73    94    73     1.169869E+01     1.760969E+00     2.415450E+01     1.875059E-02     1.442214E-05     1.000000E+00 
   74    97    74     1.169869E+01     1.760973E+00     2.415503E+01     1.897856E-02     1.556127E-05     1.000000E+00 
   75   100    75     1.169868E+01     1.760976E+00     2.415547E+01     1.889942E-02     1.664097E-05     1.000000E+00 
   76   103    76     1.169867E+01     1.760980E+00     2.415584E+01     1.858624E-02     1.765528E-05     1.000000E+00 
   77   106    77     1.169865E+01     1.760984E+00     2.415614E+01     1.808977E-02     1.860188E-05     1.000000E+00 
   78   109    78     1.169863E+01     1.760987E+00     2.415639E+01     1.744713E-02     1.947805E-05     1.000000E+00 
   79   112    79     1.169861E+01     1.760991E+00     2.415660E+01     1.668904E-02     2.028518E-05     1.000000E+00 
   80   115    80     1.169858E+01     1.760994E+00     2.415677E+01     1.584283E-02     2.102855E-05     1.000000E+00 
   81   118    81     1.169855E+01     1.760998E+00     2.415691E+01     1.493181E-02     2.170246E-05     1.000000E+00 
   82   121    82     1.169853E+01     1.761002E+00     2.415703E+01     1.397706E-02     2.230756E-05     1.000000E+00 
   83   124    83     1.169850E+01     1.761005E+00     2.415712E+01     1.299664E-02     2.284428E-05     1.000000E+00 
   84   127    84     1.169847E+01     1.761009E+00     2.415719E+01     1.200613E-02     2.331184E-05     1.000000E+00 
   85   130    85     1.169844E+01     1.761013E+00     2.415724E+01     1.101917E-02     2.370847E-05     1.000000E+00 
   86   133    86     1.169841E+01     1.761016E+00     2.415728E+01     1.004557E-02     2.403290E-05     1.000000E+00 
   87   136    87     1.169838E+01     1.761020E+00     2.415731E+01     9.093737E-03     2.428332E-05     1.000000E+00 
   88   139    88     1.169835E+01     1.761024E+00     2.415733E+01     8.170673E-03     2.445740E-05     1.000000E+00 
   89   141    89     1.169831E+01     1.761030E+00     2.415734E+01     6.610490E-03     2.668460E-05     1.000000E+00 
   90   143    90     1.169827E+01     1.761036E+00     2.415732E+01     5.300337E-03     2.779638E-05     1.000000E+00 
   91   145    91     1.169823E+01     1.761042E+00     2.415731E+01     4.258509E-03     2.804771E-05     1.000000E+00 
   92   147    92     1.169821E+01     1.761046E+00     2.415731E+01     3.427006E-03     2.767856E-05     1.000000E+00 
   93   149    93     1.169819E+01     1.761051E+00     2.415731E+01     2.756162E-03     2.688028E-05     1.000000E+00 
   94   151    94     1.169817E+01     1.761055E+00     2.415731E+01     2.145424E-03     2.587902E-05     1.000000E+00 
   95   153    95     1.169816E+01     1.761060E+00     2.415731E+01     1.593046E-03     2.462668E-05     1.000000E+00 
   96   155    96     1.169814E+01     1.761065E+00     2.415731E+01     1.102587E-03     2.304338E-05     1.000000E+00 
   97   157    97     1.169813E+01     1.761070E+00     2.415732E+01     6.794006E-04     2.098933E-05     1.000000E+00 
   98   159    98     1.169812E+01     1.761076E+00     2.415732E+01     3.328367E-04     1.817755E-05     1.000000E+00 
   99   161    99     1.169811E+01     1.761083E+00     2.415734E+01     8.357188E-05     1.383352E-05     1.000000E+00 
  100   162   100     1.169811E+01     1.761090E+00     2.415737E+01     1.300612E-07     4.759234E-06     1.000000E+00 
  101   163   101     1.169811E+01     1.761090E+00     2.415729E+01     3.349842E-06     6.960617E-09     1.000000E+00 
  102   165   102     1.169811E+01     1.761089E+00     2.415716E+01     8.651226E-06     3.683644E-08     1.000000E+00 
  103   167   103     1.169811E+01     1.761089E+00     2.415714E+01     7.447173E-06     4.573669E-08     1.000000E+00 
  104   169   104     1.169811E+01     1.761088E+00     2.415713E+01     5.413979E-06     5.046254E-08     1.000000E+00 
  105   171   105     1.169811E+01     1.761088E+00     2.415713E+01     3.570437E-06     5.242562E-08     1.000000E+00 
  106   173   106     1.169811E+01     1.761087E+00     2.415713E+01     2.089514E-06     5.160864E-08     1.000000E+00 
  107   175   107     1.169811E+01     1.761087E+00     2.415713E+01     9.871053E-07     4.735542E-08     1.000000E+00 
  108   177   108     1.169811E+01     1.761086E+00     2.415712E+01     2.668388E-07     3.764348E-08     1.000000E+00 
  109   178   109     1.169811E+01     1.761086E+00     2.415712E+01     1.147788E-08     1.469949E-08     1.000000E+00 
  110   178   109     1.169811E+01     1.761086E+00     2.415712E+01     1.147788E-08     0.000000E+00     1.000000E+00 
