MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     1.104465E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.682574E+01     0.000000E+00     5.362690E+01     6.535262E+02     1.570619E+04     1.000000E+00 
    2     3     2     4.417719E+01     3.061147E+00     5.690825E+01     4.387423E+02     4.194535E+03     1.000000E+00 
    3     4     3     5.005429E+01     3.358974E+00     3.583362E+01     8.269347E+01     1.593021E+03     1.000000E+00 
    4     5     4     4.208404E+01     3.584689E+00     4.122054E+01     2.416866E+02     4.080624E+02     1.000000E+00 
    5     7     5     3.930611E+01     3.454439E+00     3.583932E+01     1.008365E+02     1.701301E+02     1.000000E+00 
    6     9     6     3.488818E+01     3.299255E+00     3.444811E+01     4.275517E+01     5.533191E+01     1.000000E+00 
    7    10     7     3.175474E+01     3.003949E+00     3.406651E+01     3.650569E+00     2.765894E+01     1.000000E+00 
    8    11     8     2.849973E+01     2.865622E+00     3.416616E+01     1.326140E+01     1.396166E+00     1.000000E+00 
    9    13     9     2.698469E+01     2.777673E+00     3.443203E+01     2.634298E+01     9.655020E-01     1.000000E+00 
   10    15    10     2.628361E+01     2.695614E+00     3.443043E+01     7.826887E+00     8.121961E-01     1.000000E+00 
   11    16    11     2.571380E+01     2.618167E+00     3.452550E+01     1.394905E+00     6.476652E-01     1.000000E+00 
   12    17    12     2.515186E+01     2.591203E+00     3.468143E+01     3.127110E+00     7.822254E-02     1.000000E+00 
   13    18    13     2.477540E+01     2.565136E+00     3.481813E+01     2.372688E+00     1.437938E-01     1.000000E+00 
   14    19    14     2.448624E+01     2.548018E+00     3.497714E+01     2.961862E+00     9.483053E-02     1.000000E+00 
   15    20    15     2.438912E+01     2.536215E+00     3.501868E+01     2.975019E-01     1.094208E-01     1.000000E+00 
   16    21    16     2.413899E+01     2.532922E+00     3.504050E+01     1.206988E+00     1.264924E-02     1.000000E+00 
   17    22    17     2.393130E+01     2.523569E+00     3.500581E+01     7.305043E-01     5.708456E-02     1.000000E+00 
   18    23    18     2.379687E+01     2.514512E+00     3.494139E+01     2.300659E+00     3.229805E-02     1.000000E+00 
   19    24    19     2.369931E+01     2.510303E+00     3.492760E+01     1.563565E-01     9.756336E-02     1.000000E+00 
   20    25    20     2.357002E+01     2.505703E+00     3.491060E+01     1.130921E+00     7.315054E-03     1.000000E+00 
   21    26    21     2.345991E+01     2.500016E+00     3.492706E+01     9.398994E-01     5.105282E-02     1.000000E+00 
   22    27    22     2.341939E+01     2.494599E+00     3.495699E+01     3.635857E-01     4.188583E-02     1.000000E+00 
   23    28    23     2.340078E+01     2.492295E+00     3.498162E+01     1.452613E-01     1.698906E-02     1.000000E+00 
   24    29    24     2.338755E+01     2.491024E+00     3.500185E+01     1.139594E-01     6.346622E-03     1.000000E+00 
   25    30    25     2.337809E+01     2.490263E+00     3.500853E+01     1.020142E-01     5.298332E-03     1.000000E+00 
   26    31    26     2.336944E+01     2.489868E+00     3.500124E+01     1.471437E-01     5.135180E-03     1.000000E+00 
   27    32    27     2.336140E+01     2.489580E+00     3.498893E+01     4.171242E-02     6.963948E-03     1.000000E+00 
   28    33    28     2.335849E+01     2.489214E+00     3.497950E+01     7.347943E-03     1.652645E-03     1.000000E+00 
   29    34    29     2.335658E+01     2.489022E+00     3.497240E+01     3.269743E-03     1.883891E-04     1.000000E+00 
   30    35    30     2.335565E+01     2.488791E+00     3.497116E+01     6.358175E-03     1.128882E-04     1.000000E+00 
   31    36    31     2.335507E+01     2.488596E+00     3.497234E+01     7.179670E-03     2.813709E-04     1.000000E+00 
   32    37    32     2.335469E+01     2.488437E+00     3.497267E+01     1.031067E-03     3.060832E-04     1.000000E+00 
   33    38    33     2.335440E+01     2.488395E+00     3.497183E+01     1.375869E-03     3.435345E-05     1.000000E+00 
   34    39    34     2.335424E+01     2.488397E+00     3.496963E+01     7.531016E-04     4.939716E-05     1.000000E+00 
