MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     1.265840E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.753976E+01     0.000000E+00     6.681728E+01     1.038214E+03     5.005998E+03     1.000000E+00 
    2     3     2     7.484145E+01     2.116205E+00     3.685829E+02     2.961474E+03     5.153275E+03     1.000000E+00 
    3     5     3     7.926581E+01     2.250401E+00     2.651908E+02     2.374716E+03     3.003883E+03     1.000000E+00 
    4     7     4     7.400123E+01     2.450172E+00     3.343343E+01     4.288720E+02     1.543542E+03     1.000000E+00 
    5     8     5     8.560966E+01     4.368028E+00     3.781892E+01     5.196151E+02     1.371174E+03     1.000000E+00 
    6    10     6     8.232064E+01     4.471470E+00     2.590891E+01     3.365771E+02     1.536772E+03     1.000000E+00 
    7    12     7     1.020087E+02     4.323396E+00     2.816613E+01     3.364405E+02     3.978364E+03     1.000000E+00 
    8    14     8     9.354666E+01     4.435981E+00     1.427011E+01     1.540686E+02     1.325815E+03     1.000000E+00 
    9    16     9     8.623098E+01     4.644588E+00     3.692900E+00     4.285030E+01     4.226022E+02     1.000000E+00 
   10    17    10     7.576521E+01     4.734264E+00     2.527528E+00     2.425855E+01     1.097627E+02     1.000000E+00 
   11    18    11     5.957697E+01     4.430688E+00     5.022305E+00     4.678551E+01     5.617956E+01     1.000000E+00 
   12    19    12     5.440110E+01     3.918134E+00     4.460583E+00     3.965038E+01     1.767993E+01     1.000000E+00 
   13    20    13     4.844595E+01     3.739671E+00     7.973715E+00     1.037318E+02     8.130780E+00     1.000000E+00 
   14    22    14     4.626465E+01     3.658885E+00     3.227187E+00     4.012851E+01     4.860538E+00     1.000000E+00 
   15    23    15     4.397953E+01     3.443513E+00     5.791312E-01     6.856024E+00     5.969465E+00     1.000000E+00 
   16    24    16     3.700940E+01     3.357505E+00     5.835517E+00     5.359144E+01     8.012236E-01     1.000000E+00 
   17    26    17     3.487549E+01     3.189964E+00     2.439943E+01     1.249661E+02     1.590330E+00     1.000000E+00 
   18    28    18     3.466642E+01     3.109026E+00     2.076701E+00     2.016147E+01     1.200107E+00     1.000000E+00 
   19    29    19     3.416321E+01     2.988853E+00     6.088177E-01     4.501092E+00     1.488931E+00     1.000000E+00 
   20    30    20     3.319879E+01     2.971603E+00     5.832784E-01     6.185710E+00     2.952653E-01     1.000000E+00 
   21    31    21     3.254538E+01     2.935644E+00     3.326507E-01     3.608331E+00     3.695756E-01     1.000000E+00 
   22    32    22     3.173459E+01     2.912205E+00     3.938234E-01     4.128565E+00     2.010177E-01     1.000000E+00 
   23    33    23     3.116333E+01     2.882084E+00     1.770815E-01     2.150521E+00     2.221888E-01     1.000000E+00 
   24    34    24     3.075457E+01     2.859196E+00     2.397285E-01     2.932149E+00     1.343655E-01     1.000000E+00 
   25    35    25     3.055203E+01     2.843928E+00     1.314806E-01     1.275372E+00     1.613818E-01     1.000000E+00 
