MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     1.275101E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.617081E+01     0.000000E+00     6.516178E+01     9.335666E+02     1.663046E+04     1.000000E+00 
    2     3     2     4.682561E+01     3.040307E+00     6.166511E+01     5.305069E+02     4.888669E+03     1.000000E+00 
    3     4     3     5.766244E+01     3.461712E+00     4.099751E+01     9.364898E+01     1.950535E+03     1.000000E+00 
    4     5     4     5.300096E+01     3.855830E+00     4.963863E+01     3.705993E+02     6.453003E+02     1.000000E+00 
    5     7     5     5.004824E+01     3.750972E+00     4.134407E+01     1.407320E+02     2.759886E+02     1.000000E+00 
    6     9     6     4.581228E+01     3.633169E+00     3.952143E+01     5.511803E+01     9.573780E+01     1.000000E+00 
    7    10     7     4.016236E+01     3.450873E+00     3.889164E+01     8.972022E+00     4.314473E+01     1.000000E+00 
    8    11     8     3.715767E+01     3.230914E+00     3.886629E+01     1.347034E+01     4.218305E+00     1.000000E+00 
    9    12     9     3.541651E+01     3.110626E+00     3.892978E+01     5.238811E+00     3.249653E+00     1.000000E+00 
   10    13    10     3.406286E+01     3.038686E+00     3.908744E+01     4.556875E+00     9.062841E-01     1.000000E+00 
   11    14    11     3.291070E+01     2.980702E+00     3.927632E+01     5.020265E+00     4.142874E-01     1.000000E+00 
   12    15    12     3.194099E+01     2.930328E+00     3.954195E+01     8.823885E+00     3.151425E-01     1.000000E+00 
   13    16    13     3.150157E+01     2.888009E+00     3.960920E+01     1.066708E+00     4.828601E-01     1.000000E+00 
   14    17    14     3.099624E+01     2.868515E+00     3.968947E+01     2.702842E+00     6.485578E-02     1.000000E+00 
   15    18    15     3.059716E+01     2.846234E+00     3.966673E+01     1.298841E+00     1.821246E-01     1.000000E+00 
   16    19    16     3.023785E+01     2.828784E+00     3.957388E+01     1.186723E+00     9.549525E-02     1.000000E+00 
   17    20    17     2.989528E+01     2.813136E+00     3.944751E+01     2.299421E+00     7.225330E-02     1.000000E+00 
   18    21    18     2.969315E+01     2.798452E+00     3.934722E+01     2.228590E+00     1.207185E-01     1.000000E+00 
   19    22    19     2.957390E+01     2.790108E+00     3.932019E+01     4.801832E-01     1.188225E-01     1.000000E+00 
   20    23    20     2.949763E+01     2.784928E+00     3.930676E+01     8.314163E-01     2.782413E-02     1.000000E+00 
   21    24    21     2.941214E+01     2.781789E+00     3.931116E+01     3.307676E-01     5.183413E-02     1.000000E+00 
   22    25    22     2.935423E+01     2.777849E+00     3.932370E+01     2.358595E-01     2.128956E-02     1.000000E+00 
   23    26    23     2.932184E+01     2.774991E+00     3.933387E+01     9.455792E-02     1.416751E-02     1.000000E+00 
   24    27    24     2.930023E+01     2.773289E+00     3.933815E+01     4.600783E-02     4.779603E-03     1.000000E+00 
   25    28    25     2.928336E+01     2.772198E+00     3.933510E+01     3.357071E-02     2.296850E-03     1.000000E+00 
   26    29    26     2.926831E+01     2.771453E+00     3.932762E+01     6.387710E-02     1.806580E-03     1.000000E+00 
   27    30    27     2.925579E+01     2.770970E+00     3.931926E+01     1.035699E-01     3.215082E-03     1.000000E+00 
   28    31    28     2.924749E+01     2.770791E+00     3.931550E+01     8.326019E-02     5.416569E-03     1.000000E+00 
   29    32    29     2.924025E+01     2.770840E+00     3.931754E+01     4.903899E-02     4.598606E-03     1.000000E+00 
   30    33    30     2.923381E+01     2.770885E+00     3.932407E+01     3.185303E-02     2.764245E-03     1.000000E+00 
   31    34    31     2.922702E+01     2.770881E+00     3.933587E+01     5.251189E-02     1.609362E-03     1.000000E+00 
   32    35    32     2.922235E+01     2.770891E+00     3.934680E+01     3.697097E-02     2.536442E-03     1.000000E+00 
   33    36    33     2.921865E+01     2.770898E+00     3.935706E+01     5.654626E-02     1.877583E-03     1.000000E+00 
   34    37    34     2.921649E+01     2.770914E+00     3.935965E+01     1.413022E-02     3.223228E-03     1.000000E+00 
   35    38    35     2.921462E+01     2.770885E+00     3.935907E+01     4.951950E-03     8.787595E-04     1.000000E+00 
   36    39    36     2.921302E+01     2.770839E+00     3.935813E+01     8.192777E-03     2.889109E-04     1.000000E+00 
   37    40    37     2.921191E+01     2.770820E+00     3.935964E+01     9.562864E-03     4.000448E-04     1.000000E+00 
   38    41    38     2.921118E+01     2.770833E+00     3.936334E+01     6.941833E-03     5.353242E-04     1.000000E+00 
   39    42    39     2.921074E+01     2.770844E+00     3.936664E+01     1.798557E-03     4.130741E-04     1.000000E+00 
   40    43    40     2.921045E+01     2.770825E+00     3.937067E+01     1.919696E-03     9.889114E-05     1.000000E+00 
   41    44    41     2.921024E+01     2.770787E+00     3.937387E+01     1.252856E-03     9.509876E-05     1.000000E+00 
   42    45    42     2.921009E+01     2.770733E+00     3.937517E+01     4.920564E-04     6.078996E-05     1.000000E+00 
   43    46    43     2.921000E+01     2.770685E+00     3.937482E+01     3.293998E-04     2.997925E-05     1.000000E+00 
   44    47    44     2.920993E+01     2.770662E+00     3.937410E+01     3.260703E-04     1.763259E-05     1.000000E+00 
   45    48    45     2.920986E+01     2.770657E+00     3.937366E+01     3.531222E-04     1.633718E-05     1.000000E+00 
   46    49    46     2.920978E+01     2.770666E+00     3.937413E+01     2.635441E-04     1.806304E-05     1.000000E+00 
   47    50    47     2.920972E+01     2.770686E+00     3.937551E+01     2.555105E-04     1.479217E-05     1.000000E+00 
   48    51    48     2.920969E+01     2.770709E+00     3.937701E+01     2.922996E-04     1.209915E-05     1.000000E+00 
   49    52    49     2.920965E+01     2.770727E+00     3.937828E+01     2.598097E-04     1.281670E-05     1.000000E+00 
   50    53    50     2.920961E+01     2.770742E+00     3.937921E+01     2.417291E-04     1.202666E-05     1.000000E+00 
   51    54    51     2.920957E+01     2.770760E+00     3.937929E+01     2.225258E-04     1.261046E-05     1.000000E+00 
   52    55    52     2.920955E+01     2.770777E+00     3.937855E+01     2.678329E-04     1.336175E-05     1.000000E+00 
   53    56    53     2.920953E+01     2.770785E+00     3.937768E+01     1.788811E-04     1.468814E-05     1.000000E+00 
   54    57    54     2.920951E+01     2.770784E+00     3.937683E+01     1.617087E-04     9.395931E-06     1.000000E+00 
   55    58    55     2.920948E+01     2.770776E+00     3.937592E+01     2.886373E-04     8.611053E-06     1.000000E+00 
   56    59    56     2.920946E+01     2.770755E+00     3.937528E+01     6.004447E-04     1.677068E-05     1.000000E+00 
   57    61    57     2.920947E+01     2.770736E+00     3.937526E+01     1.597406E-03     1.757093E-05     1.000000E+00 
   58    63    58     2.920947E+01     2.770721E+00     3.937544E+01     2.132192E-03     1.979871E-05     1.000000E+00 
   59    65    59     2.920946E+01     2.770707E+00     3.937547E+01     2.180724E-03     2.172786E-05     1.000000E+00 
   60    67    60     2.920945E+01     2.770694E+00     3.937535E+01     2.143065E-03     2.315303E-05     1.000000E+00 
   61    69    61     2.920944E+01     2.770682E+00     3.937513E+01     2.162965E-03     2.415592E-05     1.000000E+00 
   62    71    62     2.920944E+01     2.770670E+00     3.937481E+01     2.267759E-03     2.485983E-05     1.000000E+00 
   63    73    63     2.920943E+01     2.770658E+00     3.937441E+01     2.439201E-03     2.542882E-05     1.000000E+00 
   64    75    64     2.920943E+01     2.770647E+00     3.937393E+01     2.626813E-03     2.596286E-05     1.000000E+00 
   65    77    65     2.920942E+01     2.770637E+00     3.937339E+01     2.762151E-03     2.650565E-05     1.000000E+00 
   66    79    66     2.920941E+01     2.770627E+00     3.937283E+01     2.784615E-03     2.702790E-05     1.000000E+00 
   67    81    67     2.920940E+01     2.770618E+00     3.937228E+01     2.646074E-03     2.746303E-05     1.000000E+00 
   68    83    68     2.920938E+01     2.770609E+00     3.937176E+01     2.342059E-03     2.771994E-05     1.000000E+00 
   69    85    69     2.920935E+01     2.770602E+00     3.937130E+01     1.909717E-03     2.770359E-05     1.000000E+00 
   70    87    70     2.920933E+01     2.770595E+00     3.937090E+01     1.409389E-03     2.722073E-05     1.000000E+00 
   71    89    71     2.920930E+01     2.770590E+00     3.937055E+01     9.011082E-04     2.601179E-05     1.000000E+00 
   72    91    72     2.920928E+01     2.770587E+00     3.937026E+01     4.534678E-04     2.353259E-05     1.000000E+00 
   73    92    73     2.920926E+01     2.770589E+00     3.936999E+01     8.194230E-06     2.670758E-05     1.000000E+00 
   74    93    74     2.920926E+01     2.770596E+00     3.936958E+01     9.659419E-05     4.092217E-07     1.000000E+00 
   75    95    75     2.920926E+01     2.770607E+00     3.936966E+01     1.012350E-04     9.275314E-07     1.000000E+00 
   76    97    76     2.920926E+01     2.770617E+00     3.936970E+01     6.231442E-05     1.181491E-06     1.000000E+00 
   77    99    77     2.920926E+01     2.770627E+00     3.936969E+01     2.502390E-05     1.260901E-06     1.000000E+00 
   78   100    78     2.920926E+01     2.770647E+00     3.936967E+01     3.588396E-07     1.466053E-06     1.000000E+00 
   79   101    79     2.920926E+01     2.770651E+00     3.936959E+01     1.778700E-05     2.199182E-08     1.000000E+00 
   80   103    80     2.920926E+01     2.770653E+00     3.936956E+01     2.844507E-05     9.939592E-08     1.000000E+00 
   81   105    81     2.920926E+01     2.770654E+00     3.936954E+01     2.703028E-05     1.433663E-07     1.000000E+00 
   82   107    82     2.920926E+01     2.770655E+00     3.936953E+01     2.296563E-05     1.733910E-07     1.000000E+00 
   83   109    83     2.920926E+01     2.770656E+00     3.936952E+01     1.890416E-05     1.941487E-07     1.000000E+00 
   84   111    84     2.920926E+01     2.770657E+00     3.936951E+01     1.535967E-05     2.072018E-07     1.000000E+00 
   85   113    85     2.920926E+01     2.770657E+00     3.936950E+01     1.245777E-05     2.134293E-07     1.000000E+00 
   86   115    86     2.920926E+01     2.770658E+00     3.936948E+01     1.027383E-05     2.136224E-07     1.000000E+00 
   87   117    87     2.920926E+01     2.770659E+00     3.936946E+01     8.774506E-06     2.087745E-07     1.000000E+00 
   88   119    88     2.920926E+01     2.770660E+00     3.936945E+01     7.969216E-06     2.014338E-07     1.000000E+00 
   89   121    89     2.920926E+01     2.770662E+00     3.936942E+01     7.947424E-06     1.949581E-07     1.000000E+00 
